#;bioma;champsTrouve;champsTrouvebiomass;consumed;eauTrouve;hcarbon_impact;herd_kmT;herd_size;htype;income;location;milk;milking_nb;name;pcTrouve;stock;stock_month;test;total_crb_consumed;total_pb_consumed;transhumance
465;0.0;true;true;0.0;true;0.0;0.0;40.0;'large';0.0;{80500.63175711095,39272.42589353811,0.0};0.0;4.0;'Troupeau465';false;0.0;0.0;'ras';0.0;0.0;false
466;0.0;false;true;0.0;true;0.0;0.0;126.0;'large';0.0;{68493.75786791474,1890.1167542344542,0.0};0.0;12.0;'Troupeau466';false;0.0;0.0;'ras';0.0;0.0;false
467;0.0;true;true;0.0;true;0.0;0.0;30.0;'medium';0.0;{84321.00072185519,77074.76097822719,0.0};0.0;3.0;'Troupeau467';false;0.0;0.0;'ras';0.0;0.0;false
468;0.0;true;true;0.0;true;0.0;0.0;-37.0;'large';0.0;{77226.02978733016,8610.531880401402,0.0};0.0;-4.0;'Troupeau468';false;0.0;0.0;'ras';0.0;0.0;false
469;0.0;false;true;0.0;true;0.0;0.0;18.0;'small';0.0;{43388.47609959539,24151.491859662474,0.0};0.0;1.0;'Troupeau469';false;0.0;0.0;'ras';0.0;0.0;false
470;0.0;false;true;0.0;true;0.0;0.0;38.0;'medium';0.0;{49391.9130441935,36752.2702212255,0.0};0.0;3.0;'Troupeau470';false;0.0;0.0;'ras';0.0;0.0;false
471;0.0;true;true;0.0;true;0.0;0.0;37.0;'medium';0.0;{42296.94210966846,45992.841019705054,0.0};0.0;3.0;'Troupeau471';false;0.0;0.0;'ras';0.0;0.0;false
472;0.0;false;true;0.0;true;0.0;0.0;179.0;'large';0.0;{63036.0879182801,3990.2464811616255,0.0};0.0;17.0;'Troupeau472';false;0.0;0.0;'ras';0.0;0.0;false
473;0.0;true;true;0.0;true;0.0;0.0;196.0;'large';0.0;{82683.6997369648,73294.52746975828,0.0};0.0;19.0;'Troupeau473';false;0.0;0.0;'ras';0.0;0.0;false
474;0.0;true;true;0.0;true;0.0;0.0;229.0;'large';0.0;{52120.74801901082,28351.751313516816,0.0};0.0;22.0;'Troupeau474';false;0.0;0.0;'ras';0.0;0.0;false
475;0.0;true;true;0.0;false;0.0;0.0;164.0;'large';0.0;{72314.12683265899,69094.26801590393,0.0};0.0;16.0;'Troupeau475';false;0.0;0.0;'ras';0.0;0.0;false
476;0.0;false;true;0.0;true;0.0;0.0;46.0;'medium';0.0;{7913.621426970229,28351.751313516816,0.0};0.0;4.0;'Troupeau476';false;0.0;0.0;'ras';0.0;0.0;false
477;0.0;true;true;0.0;true;0.0;0.0;158.0;'large';0.0;{52120.74801901082,65734.06045282046,0.0};0.0;15.0;'Troupeau477';false;0.0;0.0;'ras';0.0;0.0;false
478;0.0;true;true;0.0;false;0.0;0.0;12.0;'small';0.0;{19920.495316166438,65314.03450743503,0.0};0.0;1.0;'Troupeau478';false;0.0;0.0;'ras';0.0;0.0;false
479;0.0;true;true;0.0;false;0.0;10.0;17.0;'medium';0.0;{113792.41844988226,8610.531880401402,0.0};0.0;1.0;'Troupeau479';true;0.0;0.0;'cell2728';0.0;0.0;false
480;0.0;true;true;0.0;true;0.0;0.0;35.0;'large';0.0;{87049.83569667251,53553.30803664287,0.0};0.0;3.0;'Troupeau480';false;0.0;0.0;'ras';0.0;0.0;false
481;0.0;true;true;0.0;true;0.0;0.0;40.0;'medium';0.0;{119250.0883995169,30871.90698582942,0.0};0.0;4.0;'Troupeau481';false;0.0;0.0;'ras';0.0;0.0;false
482;0.0;false;true;0.0;false;0.0;0.0;23.0;'medium';0.0;{115429.71943477265,69514.29396128937,0.0};0.0;2.0;'Troupeau482';false;0.0;0.0;'ras';0.0;0.0;false
483;0.0;true;true;0.0;true;0.0;0.0;57.0;'medium';0.0;{24286.63127587415,39272.42589353811,0.0};0.0;5.0;'Troupeau483';false;0.0;0.0;'ras';0.0;0.0;false
484;0.0;false;true;0.0;false;0.0;0.0;57.0;'medium';0.0;{111609.3504700284,73294.52746975828,0.0};0.0;5.0;'Troupeau484';false;0.0;0.0;'ras';0.0;0.0;false
485;0.0;true;true;0.0;true;0.0;5.0;15.0;'minifarm';0.0;{91415.97165638024,12390.765388870312,0.0};0.0;12.0;'Troupeau485';true;0.0;0.0;'cell5663';0.0;0.0;false
486;0.0;true;true;0.0;true;0.0;0.0;54.0;'medium';0.0;{80500.63175711095,79594.91665053979,0.0};0.0;5.0;'Troupeau486';false;0.0;0.0;'ras';0.0;0.0;false
487;0.0;true;true;0.0;true;0.0;3.0;15.0;'minifarm';0.0;{66856.45688302435,15330.94700656835,0.0};0.0;12.0;'Troupeau487';true;0.0;0.0;'cell8597';0.0;0.0;false
488;0.0;false;true;0.0;false;0.0;0.0;45.0;'medium';0.0;{99602.4765808322,70774.37179744567,0.0};0.0;4.0;'Troupeau488';false;0.0;0.0;'ras';0.0;0.0;false
489;0.0;false;true;0.0;false;0.0;0.0;31.0;'medium';0.0;{122524.69036929768,86315.33177670673,0.0};0.0;3.0;'Troupeau489';false;0.0;0.0;'ras';0.0;0.0;false
490;0.0;true;true;0.0;false;0.0;8.0;170.0;'large';0.0;{83775.23372689173,31711.95887660029,0.0};0.0;17.0;'Troupeau490';true;0.0;0.0;'cell16416';0.0;0.0;false
491;0.0;true;true;0.0;true;0.0;0.0;-2.0;'large';0.0;{94690.57362616101,210.01297269271714,0.0};0.0;-1.0;'Troupeau491';false;0.0;0.0;'ras';0.0;0.0;false
492;0.0;true;true;0.0;true;0.0;4.0;15.0;'minifarm';0.0;{43388.47609959539,16591.024842724655,0.0};0.0;12.0;'Troupeau492';true;0.0;0.0;'cell9242';0.0;0.0;false
493;0.0;true;true;0.0;true;0.0;0.0;30.0;'medium';0.0;{77771.79678229363,41792.58156585071,0.0};0.0;3.0;'Troupeau493';false;0.0;0.0;'ras';0.0;0.0;false
494;0.0;true;true;0.0;false;0.0;0.0;15.0;'small';0.0;{99602.4765808322,59433.671272038955,0.0};0.0;1.0;'Troupeau494';false;0.0;0.0;'ras';0.0;0.0;false
495;0.0;true;true;0.0;true;0.0;0.0;11.0;'small';0.0;{17737.427336312583,48933.0226374031,0.0};0.0;1.0;'Troupeau495';false;0.0;0.0;'ras';0.0;0.0;false
496;0.0;true;true;0.0;false;0.0;0.0;12.0;'small';0.0;{34656.204180179964,50193.100473559396,0.0};0.0;1.0;'Troupeau496';false;0.0;0.0;'ras';0.0;0.0;false
497;0.0;true;true;0.0;true;0.0;9.0;15.0;'minifarm';0.0;{94690.57362616101,42212.60751123615,0.0};0.0;12.0;'Troupeau497';true;0.0;0.0;'cell21012';0.0;0.0;false
498;0.0;true;true;0.0;false;0.0;0.0;45.0;'medium';0.0;{57578.41796864546,39692.45183892354,0.0};0.0;4.0;'Troupeau498';false;0.0;0.0;'ras';0.0;0.0;false
499;0.0;false;true;0.0;true;0.0;0.0;-0.0;'small';0.0;{27561.233245654937,9030.557825786836,0.0};0.0;-0.0;'Troupeau499';false;0.0;0.0;'ras';0.0;0.0;false
500;0.0;false;true;0.0;true;0.0;0.0;37.0;'medium';0.0;{86504.06870170905,630.0389180781515,0.0};0.0;3.0;'Troupeau500';false;0.0;0.0;'ras';0.0;0.0;false
501;0.0;true;true;0.0;true;0.0;10.0;15.0;'minifarm';0.0;{87595.60269163598,41372.55562046528,0.0};0.0;12.0;'Troupeau501';true;0.0;0.0;'cell22382';0.0;0.0;false
502;0.0;true;true;0.0;true;0.0;0.0;221.0;'large';0.0;{49937.68003915696,48092.97074663223,0.0};0.0;22.0;'Troupeau502';false;0.0;0.0;'ras';0.0;0.0;false
503;0.0;true;true;0.0;true;0.0;5.0;15.0;'minifarm';0.0;{55941.11698375506,22891.41402350617,0.0};0.0;12.0;'Troupeau503';true;0.0;0.0;'cell11553';0.0;0.0;false
504;0.0;true;true;0.0;true;0.0;4.0;15.0;'minifarm';0.0;{112700.88445995533,2310.1426996198884,0.0};0.0;12.0;'Troupeau504';true;0.0;0.0;'cell2267';0.0;0.0;false
505;0.0;false;true;0.0;false;0.0;0.0;176.0;'large';0.0;{111063.58347506494,66994.13828897676,0.0};0.0;17.0;'Troupeau505';false;0.0;0.0;'ras';0.0;0.0;false
506;0.0;true;true;0.0;false;0.0;0.0;145.0;'large';0.0;{40659.64112477807,39692.45183892354,0.0};0.0;14.0;'Troupeau506';false;0.0;0.0;'ras';0.0;0.0;false
507;0.0;true;true;0.0;true;0.0;4.0;15.0;'minifarm';0.0;{51029.21402908389,23311.439968891606,0.0};0.0;12.0;'Troupeau507';true;0.0;0.0;'cell12692';0.0;0.0;false
508;0.0;true;true;0.0;false;0.0;0.0;9.0;'small';0.0;{41751.175114705,82115.0723228524,0.0};0.0;0.0;'Troupeau508';false;0.0;0.0;'ras';0.0;0.0;false
509;0.0;true;true;0.0;false;0.0;0.0;7.0;'small';0.0;{114883.95243980919,14490.895115797483,0.0};0.0;0.0;'Troupeau509';false;0.0;0.0;'ras';0.0;0.0;false
510;0.0;true;true;0.0;false;0.0;0.0;149.0;'large';0.0;{122524.69036929768,18691.154569651826,0.0};0.0;14.0;'Troupeau510';false;0.0;0.0;'ras';0.0;0.0;false
511;0.0;false;true;0.0;true;0.0;0.0;42.0;'medium';0.0;{9005.155416897158,3570.2205357761914,0.0};0.0;4.0;'Troupeau511';false;0.0;0.0;'ras';0.0;0.0;false
512;0.0;true;true;0.0;false;0.0;0.0;190.0;'large';0.0;{77771.79678229363,63213.90478050786,0.0};0.0;19.0;'Troupeau512';false;0.0;0.0;'ras';0.0;0.0;false
513;0.0;false;true;0.0;true;0.0;0.0;41.0;'medium';0.0;{7913.621426970229,5670.350262703363,0.0};0.0;4.0;'Troupeau513';false;0.0;0.0;'ras';0.0;0.0;false
514;0.0;true;true;0.0;true;0.0;0.0;52.0;'medium';0.0;{118704.32140455343,35072.166439683766,0.0};0.0;5.0;'Troupeau514';false;0.0;0.0;'ras';0.0;0.0;false
515;0.0;true;true;0.0;false;0.0;0.0;-8.0;'large';0.0;{112155.11746499187,13230.81727964118,0.0};0.0;-1.0;'Troupeau515';false;0.0;0.0;'ras';0.0;0.0;false
516;0.0;true;true;0.0;true;0.0;10.0;15.0;'minifarm';0.0;{99602.4765808322,32552.010767371157,0.0};0.0;12.0;'Troupeau516';true;0.0;0.0;'cell17135';0.0;0.0;false
517;0.0;true;true;0.0;true;0.0;0.0;234.0;'large';0.0;{68493.75786791474,51453.1783097157,0.0};0.0;23.0;'Troupeau517';false;0.0;0.0;'ras';0.0;0.0;false
